customer_id,subscription_length_months,customer_satisfaction_score,daily_watch_time_hours,engagement_rate,subscription_plan,support_queries_logged,age,monthly_income_usd,promotional_offers_used,number_of_profiles_created,device_used_most_often_desktop,device_used_most_often_laptop,device_used_most_often_mobile,device_used_most_often_smart_tv,device_used_most_often_tablet,genre_preference_action,genre_preference_comedy,genre_preference_documentary,genre_preference_drama,genre_preference_romance,genre_preference_sci_fi,genre_preference_thriller,region_africa,region_asia,region_europe,region_north_america,region_south_america,payment_history_delayed,payment_history_on_time,churn_status
C00001,12,10,4.85,4,1,10,33,6250,5,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
C00002,12,8,1.75,9,1,9,28,7018,1,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
C00003,3,4,2.75,9,3,3,18,1055,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
C00004,3,7,3.0,9,3,5,32,6707,5,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
C00005,24,2,1.37,5,2,2,59,1506,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
C00006,3,4,4.95,3,1,7,69,5581,4,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
C00007,12,4,0.71,3,2,3,25,2238,2,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
C00008,6,5,3.54,2,2,4,49,3630,5,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
C00009,6,9,3.79,1,1,6,27,4535,1,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
C00010,3,6,3.61,6,3,0,56,7395,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
C00011,1,9,2.88,9,1,3,27,1660,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
C00012,6,7,0.78,6,1,3,44,9436,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
C00013,3,3,1.17,9,3,8,70,4582,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
C00014,1,2,2.7,3,2,5,62,3258,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
C00015,6,3,2.01,6,3,7,36,7283,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
C00016,3,1,0.77,10,3,5,27,4807,4,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
C00017,6,2,0.78,2,1,10,43,9913,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
C00018,3,3,4.82,2,2,3,60,7265,5,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
