customer_id,churn_probability,reason_1,reason_2,reason_3
C00001,0.0618835468794183,High satisfaction score (10/10) decreased churn risk,Frequent support queries (10) increased churn risk,Many promotional offers used (5) decreased churn risk
C00002,0.23642935412233304,High satisfaction score (8/10) decreased churn risk,Frequent support queries (9) increased churn risk,High engagement rate (9/10) decreased churn risk
C00003,0.2589611441742854,High engagement rate (9/10) decreased churn risk,Short subscription history (3 months) increased churn risk,Support queries logged (3) decreased churn risk
C00004,0.08792621871653719,High engagement rate (9/10) decreased churn risk,Many promotional offers used (5) decreased churn risk,High satisfaction score (7/10) decreased churn risk
C00005,0.2813925353102348,Low satisfaction score (2/10) increased churn risk,Long subscription history (24 months) decreased churn risk,Few support queries (2) decreased churn risk
C00006,0.8504450591988891,High daily watch time (5.0 hours) decreased churn risk,Low engagement rate (3/10) increased churn risk,Many promotional offers used (4) decreased churn risk
C00007,0.8044555523764919,Low engagement rate (3/10) increased churn risk,Low daily watch time (0.7 hours) increased churn risk,Support queries logged (3) decreased churn risk
C00008,0.4333850327038627,Low engagement rate (2/10) increased churn risk,Many promotional offers used (5) decreased churn risk,On-Time payment history decreased churn risk
C00009,0.5010434131057251,High satisfaction score (9/10) decreased churn risk,Low engagement rate (1/10) increased churn risk,Few promotional offers used (1) increased churn risk
C00010,0.06547479832995685,Few support queries (0) decreased churn risk,Short subscription history (3 months) increased churn risk,On-Time payment history decreased churn risk
C00011,0.16298966952631957,High satisfaction score (9/10) decreased churn risk,High engagement rate (9/10) decreased churn risk,Few promotional offers used (0) increased churn risk
C00012,0.5432297701879897,Few promotional offers used (0) increased churn risk,Low daily watch time (0.8 hours) increased churn risk,High satisfaction score (7/10) decreased churn risk
C00013,0.9792194122049305,High engagement rate (9/10) decreased churn risk,Few promotional offers used (0) increased churn risk,Frequent support queries (8) increased churn risk
C00014,0.9743534726147797,Low satisfaction score (2/10) increased churn risk,Low engagement rate (3/10) increased churn risk,Short subscription history (1 months) increased churn risk
C00015,0.9436834311361518,Low satisfaction score (3/10) increased churn risk,Frequent support queries (7) increased churn risk,Delayed payment history increased churn risk
C00016,0.48774468960724804,Low satisfaction score (1/10) increased churn risk,High engagement rate (10/10) decreased churn risk,Low daily watch time (0.8 hours) increased churn risk
C00017,0.996952723200836,Frequent support queries (10) increased churn risk,Low satisfaction score (2/10) increased churn risk,Low engagement rate (2/10) increased churn risk
C00018,0.357509258440868,Low engagement rate (2/10) increased churn risk,Many promotional offers used (5) decreased churn risk,High daily watch time (4.8 hours) decreased churn risk
C00019,0.8974913585814758,High satisfaction score (9/10) decreased churn risk,Frequent support queries (9) increased churn risk,Few promotional offers used (0) increased churn risk
C00020,0.6818823965876624,Low satisfaction score (2/10) increased churn risk,High engagement rate (9/10) decreased churn risk,High daily watch time (4.3 hours) decreased churn risk
C00021,0.7391999623657851,Few promotional offers used (0) increased churn risk,High daily watch time (4.9 hours) decreased churn risk,Low engagement rate (3/10) increased churn risk
C00022,0.28954760411568387,Low satisfaction score (4/10) increased churn risk,On-Time payment history decreased churn risk,High daily watch time (3.6 hours) decreased churn risk
C00023,0.49483347116545434,Low engagement rate (1/10) increased churn risk,Long subscription history (24 months) decreased churn risk,Low daily watch time (0.8 hours) increased churn risk
C00024,0.018825753357050935,Few support queries (0) decreased churn risk,Long subscription history (24 months) decreased churn risk,High engagement rate (8/10) decreased churn risk
C00025,0.9492678877525069,Low satisfaction score (2/10) increased churn risk,Few promotional offers used (0) increased churn risk,Delayed payment history increased churn risk
C00026,0.19132355414503444,High engagement rate (10/10) decreased churn risk,Many promotional offers used (5) decreased churn risk,Low daily watch time (0.8 hours) increased churn risk
C00027,0.34112117982495155,High satisfaction score (9/10) decreased churn risk,Long subscription history (24 months) decreased churn risk,Frequent support queries (9) increased churn risk
C00028,0.07923488202406351,High engagement rate (10/10) decreased churn risk,Few support queries (0) decreased churn risk,Low satisfaction score (2/10) increased churn risk
C00029,0.11374102954219854,High satisfaction score (10/10) decreased churn risk,High engagement rate (9/10) decreased churn risk,Low daily watch time (0.9 hours) increased churn risk
C00030,0.9008061763440689,Frequent support queries (10) increased churn risk,High engagement rate (9/10) decreased churn risk,Few promotional offers used (0) increased churn risk
C00031,0.7483751158441165,Low engagement rate (1/10) increased churn risk,High satisfaction score (8/10) decreased churn risk,Low daily watch time (1.4 hours) increased churn risk
C00032,0.8580815380774269,Low engagement rate (2/10) increased churn risk,Frequent support queries (8) increased churn risk,Few promotional offers used (1) increased churn risk
C00033,0.3303913697505028,High satisfaction score (9/10) decreased churn risk,Frequent support queries (8) increased churn risk,Short subscription history (3 months) increased churn risk
C00034,0.7945934347862467,Few promotional offers used (0) increased churn risk,High daily watch time (5.0 hours) decreased churn risk,Delayed payment history increased churn risk
C00035,0.8428286791178976,High satisfaction score (10/10) decreased churn risk,Low engagement rate (1/10) increased churn risk,Few promotional offers used (0) increased churn risk
C00036,0.8298672707736736,Low satisfaction score (1/10) increased churn risk,Many promotional offers used (4) decreased churn risk,On-Time payment history decreased churn risk
C00037,0.9403660623742586,Low satisfaction score (2/10) increased churn risk,Frequent support queries (9) increased churn risk,Short subscription history (3 months) increased churn risk
C00038,0.9657789514594378,Low satisfaction score (1/10) increased churn risk,Many promotional offers used (5) decreased churn risk,Low engagement rate (3/10) increased churn risk
C00039,0.01311584345326252,High engagement rate (9/10) decreased churn risk,Many promotional offers used (5) decreased churn risk,High daily watch time (4.9 hours) decreased churn risk
C00040,0.1703727608383006,Few support queries (1) decreased churn risk,High daily watch time (5.0 hours) decreased churn risk,Short subscription history (1 months) increased churn risk
C00041,0.895917374802008,Few support queries (1) decreased churn risk,Short subscription history (1 months) increased churn risk,Low daily watch time (1.0 hours) increased churn risk
C00042,0.03306843655671214,Long subscription history (24 months) decreased churn risk,High daily watch time (4.7 hours) decreased churn risk,High engagement rate (8/10) decreased churn risk
C00043,0.2794723551806625,High engagement rate (10/10) decreased churn risk,Low satisfaction score (3/10) increased churn risk,Many promotional offers used (4) decreased churn risk
C00044,0.5624760639952583,High engagement rate (9/10) decreased churn risk,Few promotional offers used (0) increased churn risk,Low satisfaction score (3/10) increased churn risk
C00045,0.612442766253017,High satisfaction score (8/10) decreased churn risk,Frequent support queries (9) increased churn risk,Short subscription history (3 months) increased churn risk
C00046,0.06353271871202104,High satisfaction score (10/10) decreased churn risk,Frequent support queries (10) increased churn risk,High engagement rate (9/10) decreased churn risk
C00047,0.8252623389930204,Frequent support queries (10) increased churn risk,Long subscription history (24 months) decreased churn risk,Few promotional offers used (0) increased churn risk
C00048,0.5634336098488028,Few support queries (0) decreased churn risk,Low engagement rate (2/10) increased churn risk,Low daily watch time (0.6 hours) increased churn risk
C00049,0.9619538480632123,Low satisfaction score (1/10) increased churn risk,High engagement rate (9/10) decreased churn risk,Few promotional offers used (0) increased churn risk
C00050,0.6587105288416406,Low satisfaction score (1/10) increased churn risk,Low engagement rate (2/10) increased churn risk,Long subscription history (24 months) decreased churn risk
C00051,0.5665507723095506,Few promotional offers used (0) increased churn risk,Support queries logged (3) decreased churn risk,Low engagement rate (4/10) increased churn risk
C00052,0.35557527185955967,Low engagement rate (2/10) increased churn risk,Long subscription history (24 months) decreased churn risk,Few promotional offers used (0) increased churn risk
C00053,0.10797394669251621,Few support queries (0) decreased churn risk,High satisfaction score (8/10) decreased churn risk,Long subscription history (24 months) decreased churn risk
C00054,0.06736983497347536,Few support queries (0) decreased churn risk,High engagement rate (9/10) decreased churn risk,Many promotional offers used (5) decreased churn risk
C00055,0.8849300553431962,Low daily watch time (1.4 hours) increased churn risk,Short subscription history (3 months) increased churn risk,Low engagement rate (4/10) increased churn risk
C00056,0.6996379290977415,High satisfaction score (9/10) decreased churn risk,Frequent support queries (10) increased churn risk,Short subscription history (1 months) increased churn risk
C00057,0.07997810421445196,High satisfaction score (10/10) decreased churn risk,High engagement rate (9/10) decreased churn risk,Short subscription history (1 months) increased churn risk
C00058,0.2699682078494367,Long subscription history (24 months) decreased churn risk,Support queries logged (3) decreased churn risk,Few promotional offers used (1) increased churn risk
C00059,0.7077133798017549,Frequent support queries (10) increased churn risk,Low satisfaction score (2/10) increased churn risk,Low engagement rate (2/10) increased churn risk
C00060,0.46122186346248134,Low engagement rate (1/10) increased churn risk,Long subscription history (24 months) decreased churn risk,Low satisfaction score (4/10) increased churn risk
C00061,0.369192720099263,Few support queries (2) decreased churn risk,Short subscription history (3 months) increased churn risk,Few promotional offers used (1) increased churn risk
C00062,0.09479187367319912,Few support queries (0) decreased churn risk,Many promotional offers used (4) decreased churn risk,Short subscription history (3 months) increased churn risk
C00063,0.06489859264552938,High satisfaction score (8/10) decreased churn risk,Few promotional offers used (0) increased churn risk,High daily watch time (4.8 hours) decreased churn risk
C00064,0.6925042487972327,Low engagement rate (1/10) increased churn risk,Many promotional offers used (5) decreased churn risk,Delayed payment history increased churn risk
C00065,0.3338018259188708,High engagement rate (10/10) decreased churn risk,Low satisfaction score (2/10) increased churn risk,Many promotional offers used (4) decreased churn risk
C00066,0.40399174933471094,High engagement rate (8/10) decreased churn risk,Short subscription history (1 months) increased churn risk,Support queries logged (3) decreased churn risk
C00067,0.017395626925924435,Few support queries (0) decreased churn risk,Long subscription history (24 months) decreased churn risk,High engagement rate (8/10) decreased churn risk
C00068,0.5720878948807894,Low satisfaction score (1/10) increased churn risk,High daily watch time (4.3 hours) decreased churn risk,Support queries logged (3) decreased churn risk
C00069,0.9782336470183979,Low satisfaction score (1/10) increased churn risk,Few support queries (1) decreased churn risk,Low engagement rate (3/10) increased churn risk
C00070,0.10446476599924938,High satisfaction score (10/10) decreased churn risk,High engagement rate (10/10) decreased churn risk,Frequent support queries (9) increased churn risk
C00071,0.2673651588755893,Low satisfaction score (1/10) increased churn risk,High engagement rate (9/10) decreased churn risk,Support queries logged (3) decreased churn risk
C00072,0.09525708224844256,Low satisfaction score (2/10) increased churn risk,Long subscription history (24 months) decreased churn risk,Many promotional offers used (5) decreased churn risk
C00073,0.022154653557252296,High satisfaction score (10/10) decreased churn risk,Few support queries (2) decreased churn risk,Few promotional offers used (1) increased churn risk
C00074,0.5001595590236386,Frequent support queries (10) increased churn risk,High daily watch time (4.6 hours) decreased churn risk,Delayed payment history increased churn risk
C00075,0.9749696446740757,Low satisfaction score (2/10) increased churn risk,Few promotional offers used (0) increased churn risk,Frequent support queries (8) increased churn risk
C00076,0.01631097127786614,High engagement rate (10/10) decreased churn risk,Few support queries (1) decreased churn risk,Short subscription history (1 months) increased churn risk
