customer_id,churn_probability,reason_1,reason_2,reason_3,segment_name,subscription_length_months,customer_satisfaction_score,daily_watch_time_hours,engagement_rate,subscription_plan,support_queries_logged,age,monthly_income_usd,promotional_offers_used,number_of_profiles_created,device_used_most_often_desktop,device_used_most_often_laptop,device_used_most_often_mobile,device_used_most_often_smart_tv,device_used_most_often_tablet,genre_preference_action,genre_preference_comedy,genre_preference_documentary,genre_preference_drama,genre_preference_romance,genre_preference_sci_fi,genre_preference_thriller,region_africa,region_asia,region_europe,region_north_america,region_south_america,payment_history_delayed,payment_history_on_time,churn_status
C00001,0.0618835468794183,High satisfaction score (10/10) decreased churn risk,Frequent support queries (10) increased churn risk,Many promotional offers used (5) decreased churn risk,Satisfied Loyal,12,10,4.85,4,1,10,33,6250,5,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
C00002,0.236429354122333,High satisfaction score (8/10) decreased churn risk,Frequent support queries (9) increased churn risk,High engagement rate (9/10) decreased churn risk,Satisfied Loyal,12,8,1.75,9,1,9,28,7018,1,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
C00003,0.2589611441742854,High engagement rate (9/10) decreased churn risk,Short subscription history (3 months) increased churn risk,Support queries logged (3) decreased churn risk,Low-Satisfaction At-Risk,3,4,2.75,9,3,3,18,1055,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
C00004,0.0879262187165371,High engagement rate (9/10) decreased churn risk,Many promotional offers used (5) decreased churn risk,High satisfaction score (7/10) decreased churn risk,Engaged but Payment-Fragile,3,7,3.0,9,3,5,32,6707,5,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
C00005,0.2813925353102348,Low satisfaction score (2/10) increased churn risk,Long subscription history (24 months) decreased churn risk,Few support queries (2) decreased churn risk,Low-Satisfaction At-Risk,24,2,1.37,5,2,2,59,1506,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
C00006,0.8504450591988891,High daily watch time (5.0 hours) decreased churn risk,Low engagement rate (3/10) increased churn risk,Many promotional offers used (4) decreased churn risk,High-Risk Disengaged,3,4,4.95,3,1,7,69,5581,4,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
C00007,0.8044555523764919,Low engagement rate (3/10) increased churn risk,Low daily watch time (0.7 hours) increased churn risk,Support queries logged (3) decreased churn risk,High-Risk Disengaged,12,4,0.71,3,2,3,25,2238,2,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
C00008,0.4333850327038627,Low engagement rate (2/10) increased churn risk,Many promotional offers used (5) decreased churn risk,On-Time payment history decreased churn risk,Satisfied Loyal,6,5,3.54,2,2,4,49,3630,5,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
C00009,0.5010434131057251,High satisfaction score (9/10) decreased churn risk,Low engagement rate (1/10) increased churn risk,Few promotional offers used (1) increased churn risk,Satisfied Loyal,6,9,3.79,1,1,6,27,4535,1,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
C00010,0.0654747983299568,Few support queries (0) decreased churn risk,Short subscription history (3 months) increased churn risk,On-Time payment history decreased churn risk,Satisfied Loyal,3,6,3.61,6,3,0,56,7395,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
